-3550	20000	-350
-3550	20000	-400
-3550	20000	-450
-3550	20000	-500
-3550	20000	-550
-3550	20000	-600
-3550	20000	-650
-3550	20000	-700
-3050	0	3700
-3050	0	2700
-3050	0	2200
-3050	0	2000
-3050	0	1800
-3050	0	1600
-3050	0	1400
-3050	0	1200
-3050	0	1000
-3050	0	800
-3050	0	600
-3050	0	400
-3050	0	200
-3050	0	0
-3050	0	-100
-3050	0	-150
-3050	0	-200
-3050	0	-250
-3050	0	-300
-3050	0	-350
-3050	0	-400
-3050	0	-450
-3050	0	-500
-3050	0	-550
-3050	0	-600
-3050	0	-650
-3050	0	-700
-3050	5000	3700
-3050	5000	2700
-3050	5000	2200
-3050	5000	2000
-3050	5000	1800
-3050	5000	1600
-3050	5000	1400
-3050	5000	1200
-3050	5000	1000
-3050	5000	800
-3050	5000	600
-3050	5000	400
-3050	5000	200
-3050	5000	0
-3050	5000	-100
-3050	5000	-150
-3050	5000	-200
-3050	5000	-250
-3050	5000	-300
-3050	5000	-350
-3050	5000	-400
-3050	5000	-450
-3050	5000	-500
-3050	5000	-550
-3050	5000	-600
-3050	5000	-650
-3050	5000	-700
-3050	10000	3700
-3050	10000	2700
-3050	10000	2200
-3050	10000	2000
-3050	10000	1800
-3050	10000	1600
-3050	10000	1400
-3050	10000	1200
-3050	10000	1000
-3050	10000	800
-3050	10000	600
-3050	10000	400
-3050	10000	200
-3050	10000	0
-3050	10000	-100
-3050	10000	-150
-3050	10000	-200
-3050	10000	-250
-3050	10000	-300
-3050	10000	-350
-3050	10000	-400
-3050	10000	-450
-3050	10000	-500
-3050	10000	-550
-3050	10000	-600
-3050	10000	-650
-3050	10000	-700
-3050	15000	3700
-3050	15000	2700
-3050	15000	2200
-3050	15000	2000
-3050	15000	1800
-3050	15000	1600
-3050	15000	1400
-3050	15000	1200
-3050	15000	1000
-3050	15000	800
-3050	15000	600
-3050	15000	400
-3050	15000	200
-3050	15000	0
-3050	15000	-100
-3050	15000	-150
-3050	15000	-200
-3050	15000	-250
-3050	15000	-300
-3050	15000	-350
-3050	15000	-400
-3050	15000	-450
-3050	15000	-500
-3050	15000	-550
-3050	15000	-600
-3050	15000	-650
-3050	15000	-700
-3050	20000	3700
-3050	20000	2700
-3050	20000	2200
-3050	20000	2000
-3050	20000	1800
-3050	20000	1600
-3050	20000	1400
-3050	20000	1200
-3050	20000	1000
-3050	20000	800
-3050	20000	600
-3050	20000	400
-3050	20000	200
-3050	20000	0
-3050	20000	-100
-3050	20000	-150
-3050	20000	-200
-3050	20000	-250
-3050	20000	-300
-3050	20000	-350
-3050	20000	-400
-3050	20000	-450
-3050	20000	-500
-3050	20000	-550
-3050	20000	-600
-3050	20000	-650
-3050	20000	-700
